sigma	i_sigma	i_Q	i_root_loc	degree_approx	h	detJ	normJinv	cond_root	cond_eig	err_est_root	err_est_eig	detJ_hat	cond_hat	err_est_hat	dist_z	pred_dist_z	test_dist_z	max_A2	approx_err	scale_factor	expected_x	expected_y	expected_z
1	1	2	1	3	0.00143844988828766	1	1	1	1	1e-15	1e-15	-0.142544902300729	7.01533330101337	1.00912054031434e-17	2.74010734102603e-08	5.54854757659933e-15	0.0853434351750219	0.0203052726688645	3.85731030450032e-12	0.522376819539544	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	0.000483293023857175	1	1	1	1	1e-15	1e-15	-0.142488582955201	7.01810614759501	3.39180174182182e-18	4.74184402854405e-09	3.95948313582811e-16	0.0853434351750219	0.0202983696359458	8.19271733787375e-13	0.522308013627478	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	0.000162377673918872	1	1	1	1	1e-15	1e-15	-0.142469687735031	7.019036932683	1.13973489027972e-18	2.84550161211428e-13	4.22931234351502e-16	0.0853434351750219	0.0202960576844873	2.60461444079318e-12	0.522284925084791	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	5.45559478116851e-05	1	1	1	1	1e-15	1e-15	-0.142463342332551	7.01934956478636	3.82947268528459e-19	1.19793064357054e-13	2.86611132851641e-16	0.0853434351750219	0.0202952817381969	5.25352678026891e-12	0.522277171020716	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	1.83298071083244e-05	1	1	1	1	1e-15	1e-15	-0.142461210735497	7.01945459284822	1.2866524869255e-19	3.5527136788005e-15	3.8842039851415e-16	0.0853434351750219	0.0202950211278066	2.11906429903319e-11	0.522274566163416	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	6.15848211066027e-06	1	1	1	1	1e-15	1e-15	-0.142460494623364	7.01948987783449	4.32294028386045e-20	1.77635683940025e-15	3.2464145129147e-16	0.0853434351750219	0.020294933580068	5.27145237183557e-11	0.522273691053207	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	2.06913808111479e-06	1	1	1	1	1e-15	1e-15	-0.142460253926174	7.01950173778453	1.45243183561014e-20	1.95099492117379e-12	3.05643248427818e-16	0.0853434351750219	0.0202949041501194	1.4771524975421e-10	0.522273396913461	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	6.95192796177561e-07	1	1	1	1	1e-15	1e-15	-0.142460173163191	7.01950571725389	4.8799098073621e-21	1.31827881943991e-12	2.98793333967444e-16	0.0853434351750219	0.0202948942815654	4.29799237866568e-10	0.522273298218412	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	2.33572146909012e-07	1	1	1	1	1e-15	1e-15	-0.142460144902556	7.01950710975347	1.63956134586819e-21	9.39095512464405e-09	2.92671807388621e-16	0.0853434351750219	0.0202948907120741	1.25302529116467e-09	0.522273263682967	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	7.84759970351461e-08	1	1	1	1	1e-15	1e-15	-0.142460139132615	7.01950739405855	5.50862841444325e-22	7.08183511832772e-11	3.91878743641416e-16	0.0853434351750219	0.0202948899337391	4.99361280451027e-09	0.522273256631905	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	2.63665089873036e-08	1	1	1	1	1e-15	1e-15	-0.142460131172651	7.01950778627374	1.85079915133234e-22	1.06711306457896e-11	4.50062641361309e-16	0.0853434351750219	0.0202948893912124	1.70694816510608e-08	0.522273246904561	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	8.85866790410083e-09	1	1	1	1	1e-15	1e-15	-0.142460142029086	7.01950725133934	6.21834835900428e-23	6.50113296529753e-12	2.86911447033797e-16	0.0853434351750219	0.0202948905983605	3.23876512969834e-08	0.52227326017149	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	2.97635144163131e-09	1	1	1	1	1e-15	1e-15	-0.142460113876665	7.01950863850743	2.08925246557651e-23	3.89543952650229e-12	3.22712487312939e-16	0.0853434351750219	0.0202948920504421	1.08425531608614e-07	0.522273225768282	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	1e-09	1	1	1	1	1e-15	1e-15	-0.142459951978906	7.01951661578598	7.01951661578598e-24	1.83272286236047e-11	3.56932995569659e-16	0.0853434351750219	0.0202948690420089	3.56932995569659e-07	0.522273027923672	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	3	1	3	1	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.0721886675077566	13.8525898111715	1.38525898111716e-14	0.000762582188805094	0.000201013956178467	0.00287099661513651	0.00288011744706912	0.000201013956178467	0.416379821966268	0.249312653499991	-0.783473254756226	-0.267172371733312
1	1	3	1	3	0.335981828628378	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.174110913108165	5.74346537013887	1.92969999772302e-15	1.45108471544253e-06	1.34442430497395e-05	0.00287099661513651	0.0256130788939846	4.0014792182734e-05	0.558395613118347	0.249312653499991	-0.783473254756226	-0.267172371733312
1	1	3	1	3	0.112883789168469	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.168532526881875	5.9335726966279	6.69804169301927e-16	2.06278505388013e-09	1.66745987928947e-07	0.00287099661513651	0.0269949934518453	1.47714733140375e-06	0.552367236727587	0.249312653499991	-0.783473254756226	-0.267172371733312
1	1	3	1	3	0.0379269019073225	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.168372591971255	5.93920891929205	2.25255794089085e-16	7.8498874067634e-12	2.21320217862192e-09	0.00287099661513651	0.0278894767752691	5.83544151333548e-08	0.552192451942008	0.249312653499991	-0.783473254756226	-0.267172371733312
1	1	3	1	3	0.0127427498570313	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.168501876128193	5.93465202274197	7.5623786214326e-17	3.72091246703121e-13	2.86386270770041e-11	0.00287099661513651	0.0282397235374707	2.24744481358563e-09	0.552333748635002	0.249312653499991	-0.783473254756226	-0.267172371733312
1	1	3	1	3	0.0042813323987194	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.168566555171522	5.93237489478541	2.53984688383944e-17	1.74604858349525e-09	3.66851138985573e-13	0.00287099661513651	0.0283633711440907	8.56862081288767e-11	0.552404410258766	0.249312653499991	-0.783473254756226	-0.267172371733312
1	1	3	1	3	0.00143844988828766	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.168590717278288	5.93152467789389	8.53220101029199e-18	1.02421293668442e-10	4.60996062368266e-15	0.00287099661513651	0.0284056062212006	3.2048114162464e-12	0.552430802636641	0.249312653499991	-0.783473254756226	-0.267172371733312
1	1	3	1	3	0.000483293023857175	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.168599111144591	5.9312293713245	2.86652177805791e-18	8.27116153345742e-15	4.70139891556371e-16	0.00287099661513651	0.0284198752498892	9.72784353070466e-13	0.552439970704371	0.249312653499991	-0.783473254756226	-0.267172371733312
1	1	3	1	3	0.000162377673918872	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.168601962525753	5.93112906290908	9.63082940947798e-19	7.81485987033648e-13	4.39581360603796e-16	0.00287099661513651	0.0284246783094367	2.70715394545817e-12	0.552443085011113	0.249312653499991	-0.783473254756226	-0.267172371733312
1	1	3	1	3	5.45559478116851e-05	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.168602924063548	5.93109523784471	3.2357652226199e-19	3.96013388748173e-10	3.07712472592813e-16	0.00287099661513651	0.0284262930595815	5.64031026745182e-12	0.552444135204298	0.249312653499991	-0.783473254756226	-0.267172371733312
1	1	3	1	3	1.83298071083244e-05	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.168603247529711	5.9310838590092	1.08715623078935e-19	2.36372033057819e-12	5.28881559510922e-16	0.00287099661513651	0.0284268357033221	2.88536347592405e-11	0.552444488493684	0.249312653499991	-0.783473254756226	-0.267172371733312
